team,jersey,name,pos,games,age,college,mover,also,resolved
cincinnati-bengals,83,Rick Walker,TE,10,24,UCLA,,,
cincinnati-bengals,79,Ross Browner,DE,16,25,Notre Dame,,,
cincinnati-bengals,28,Scott Burk,DB,16,23,Oklahoma State,,,
cincinnati-bengals,32,Scott Perry,DB,14,25,Williams,,,
cincinnati-bengals,86,Steve Kreider,WR,15,21,Lehigh,,,
cincinnati-bengals,52,Tom Dinkel,LB,16,23,Kansas,,,
cincinnati-bengals,51,Tom Ruud,LB,16,26,Nebraska,,,
cincinnati-bengals,29,Vaughn Lusby,DB,16,23,Arkansas,,,
cincinnati-bengals,76,Vern Holland,OT,16,31,Tennessee State,,,
cincinnati-bengals,75,Wilson Whitley,DT,14,24,Houston,,,
cleveland-browns,17,Brian Sipe,QB,16,30,San Diego State,,,
cleveland-browns,35,Calvin Hill,RB,14,32,Yale,,,
cleveland-browns,59,Charlie Hall,LB,16,30,Houston,,,
cleveland-browns,22,Clarence Scott,DB,16,30,Kansas State,,,
cleveland-browns,57,Clay Matthews,LB,16,23,Southern California,,,
cleveland-browns,30,Cleo Miller,RB,16,27,Arkansas-Pine Bluff,,,
cleveland-browns,49,Clinton Burrell,DB,16,23,Louisiana State,,,
cleveland-browns,63,Cody Risien,OT,16,22,Texas A&M,,,
cleveland-browns,87,Curtis Weathers,LB,16,23,Mississippi,,,
cleveland-browns,55,Dave Graf,LB,16,26,Penn State,,,
cleveland-browns,85,Dave Logan,WR,16,25,Colorado,,,
cleveland-browns,52,Dick Ambrose,LB,15,26,Virginia,,,
cleveland-browns,1,Dino Hall,RB,11,23,Rowan,,,
cleveland-browns,12,Don Cockroft,K,16,34,Adams State,,,
cleveland-browns,73,Doug Dieken,OT,16,30,Illinois,,,
cleveland-browns,64,George Buehler,OG,11,32,Stanford,,,
cleveland-browns,86,Gerald Irons,LB,16,32,Maryland Eastern Shore,,,
cleveland-browns,79,Gerry Sullivan,C,16,27,Illinois,,,
cleveland-browns,34,Greg Pruitt,RB,6,28,Oklahoma,,,
cleveland-browns,91,Henry Bradley,DT,5,26,Alcorn State,,,
cleveland-browns,65,Henry Sheppard,OG,16,26,Southern Methodist,,,
cleveland-browns,81,Jack Gregory,DE,16,35,Delta State,,,
cleveland-browns,72,Jerry Sherk,DT,10,31,Oklahoma State,,,
cleveland-browns,88,John Smith,WR,6,23,Tennessee State,,namesake,
cleveland-browns,8,Johnny Evans,P,16,23,North Carolina State,,,
cleveland-browns,89,Keith Wright,WR,5,23,Memphis,,,
cleveland-browns,48,Lawrence Johnson,DB,16,22,Wisconsin,,,
cleveland-browns,77,Lyle Alzado,DE,15,30,Yankton,,,
cleveland-browns,15,Mark Miller,QB,2,23,Bowling Green,,,
cleveland-browns,77,Matt Miller,OT,16,23,Colorado,,,
cleveland-browns,78,Mickey Sims,DT,16,24,South Carolina State,,,
cleveland-browns,43,Mike Pruitt,RB,16,25,Purdue,,,
cleveland-browns,74,Mike St. Clair,DE,16,26,Grambling,,,
cleveland-browns,21,Oliver Davis,DB,16,25,Tennessee State,,,
