round,pick,team,name,pos,age,last_season,all_pro,pro_bowls,seasons_started,career_av,draft_av,college
12,156,RAM,Marv Marinovich,G,23,1965,0,0,0,0,,USC
12,157,MIN,Gary Fallon,HB,,,0,0,0,,,Syracuse
12,158,GNB,Joe Thorne,B,,,0,0,0,,,South Dakota St.
12,159,STL,Bob O'Billovich,B,,,0,0,0,,,Montana St.
12,160,PIT,Sam Mudie,B,,,0,0,0,,,Rutgers
12,161,CHI,Bill Watts,T,,,0,0,0,,,Miami (FL)
12,162,SFO,Milt McPike,E,,,0,0,0,,,Truman St.
12,163,BAL,Bake Turner,WR,22,1970,0,1,4,32,1,Texas Tech
12,164,DET,Gale Sprute,C,,,0,0,0,,,Winona St.
12,165,CLE,Ted Stute,E,,,0,0,0,,,Ohio
12,166,NYG,Albert Gursky,LB,21,1963,0,0,0,1,1,Penn St.
12,167,PHI,Larry Thompson,C,,,0,0,0,,,Tulane
12,168,GNB,Tom Pennington,K,22,1962,0,0,0,0,,Georgia
13,169,WAS,Bill Whisler,E,,,0,0,0,,,Iowa
13,170,MIN,Roger Van Cleef,T,,,0,0,0,,,SW Oklahoma St.
13,171,RAM,Bob Fearnside,HB,,,0,0,0,,,Bowling Green
13,172,DAL,Bob Moses,E,,,0,0,0,,,Texas
13,173,PIT,Dave Woodward,T,,,0,0,0,,,Auburn
13,174,STL,Bill Diamond,G,23,1963,0,0,0,3,,Miami (FL)
13,175,CHI,Joe Perkowski,B,,,0,0,0,,,Notre Dame
13,176,SFO,George Pierovich,B,,,0,0,0,,,California
13,177,BAL,Charles Holmes,FB,,,0,0,0,,,MD-Eastern Shore
13,178,DET,Sherlock Knight,T,,,0,0,0,,,Central State (OH)
13,179,CLE,Frank Gardner,T,,,0,0,0,,,North Carolina Central
13,180,PHI,George McKinney,B,,,0,0,0,,,Arkansas
13,181,NYG,Billy Joe Booth,T,,,0,0,0,,,LSU
13,182,GNB,Tom Kepner,T,,,0,0,0,,,Villanova
14,183,WAS,Jim Costen,HB,,,0,0,0,,,South Carolina
14,184,RAM,Gary Henson,E,21,1964,0,0,0,0,,Colorado
14,185,MIN,Pat Russ,DT,22,1963,0,0,0,3,3,Purdue
14,186,DAL,Harold Hays,LB,22,1969,0,0,0,18,15,Southern Miss
14,187,STL,George Mans,E,,,0,0,0,,,Michigan
14,188,PIT,Jim Whitaker,E,,,0,0,0,,,Nevada
14,189,CHI,Andy Von Sonn,LB,21,1964,0,0,0,3,,UCLA
14,190,SFO,Dick Easterly,B,,,0,0,0,,,Syracuse
14,191,BAL,Stinson Jones,B,,,0,0,0,,,VMI
14,192,DET,Jim Davidson,B,,,0,0,0,,,Maryland
14,193,CLE,Jim Shorter,DB,23,1969,0,0,4,26,3,Detroit Mercy
14,194,NYG,Greg Mather,E,,,0,0,0,,,Navy
14,195,PHI,Jim Schwab,E,,,0,0,0,,,Penn St.
14,196,GNB,Ernie Green,HB,23,1968,0,2,6,53,,Louisville
