season,team,w,l,t,pf,pa,pf_rank,pa_rank,n_teams
1971,Philadelphia Eagles,6,7,1,221,302,22,20,26
1971,St. Louis Cardinals,4,9,1,231,279,20,15,26
1971,New York Giants,4,10,0,228,362,21,25,26
1971,San Francisco 49ers,9,5,0,300,216,9,6,26
1971,Los Angeles Rams,8,5,1,313,260,6,8,26
1971,Atlanta Falcons,7,6,1,274,277,14,13,26
1971,New Orleans Saints,4,8,2,266,347,15,24,26
1972,Pittsburgh Steelers,11,3,0,343,175,5,2,26
1972,Cleveland Browns,10,4,0,268,249,17,9,26
1972,Cincinnati Bengals,8,6,0,299,229,13,5,26
1972,Houston Oilers,1,13,0,164,380,25,25,26
1972,Miami Dolphins,14,0,0,385,171,1,1,26
1972,New York Jets,7,7,0,367,324,2,19,26
1972,Baltimore Colts,5,9,0,235,252,20,11,26
1972,Buffalo Bills,4,9,1,257,377,19,24,26
1972,New England Patriots,3,11,0,192,446,24,26,26
1972,Oakland Raiders,10,3,1,365,248,3,8,26
1972,Kansas City Chiefs,8,6,0,287,254,15,13,26
1972,Denver Broncos,5,9,0,325,350,9,21,26
1972,San Diego Chargers,4,9,1,264,344,18,20,26
1972,Green Bay Packers,10,4,0,304,226,11,4,26
1972,Detroit Lions,8,5,1,339,290,6,17,26
1972,Minnesota Vikings,7,7,0,301,252,12,12,26
1972,Chicago Bears,4,9,1,225,275,21,15,26
1972,Washington Redskins,11,3,0,336,218,7,3,26
1972,Dallas Cowboys,10,4,0,319,240,10,6,26
1972,New York Giants,8,6,0,331,247,8,7,26
1972,St. Louis Cardinals,4,9,1,193,303,23,18,26
1972,Philadelphia Eagles,2,11,1,145,352,26,22,26
1972,San Francisco 49ers,8,5,1,353,249,4,10,26
1972,Atlanta Falcons,7,7,0,269,274,16,14,26
1972,Los Angeles Rams,6,7,1,291,286,14,16,26
1972,New Orleans Saints,2,11,1,215,361,22,23,26
1973,Cincinnati Bengals,10,4,0,286,231,11,11,26
1973,Pittsburgh Steelers,10,4,0,347,210,4,8,26
1973,Cleveland Browns,7,5,2,234,255,18,13,26
1973,Houston Oilers,1,13,0,199,447,23,26,26
1973,Miami Dolphins,12,2,0,343,150,5,1,26
1973,Buffalo Bills,9,5,0,259,230,15,10,26
1973,New England Patriots,5,9,0,258,300,16,16,26
1973,New York Jets,4,10,0,240,306,17,17,26
1973,Baltimore Colts,4,10,0,226,341,20,21,26
1973,Oakland Raiders,9,4,1,292,175,10,3,26
1973,Kansas City Chiefs,7,5,2,231,192,19,5,26
1973,Denver Broncos,7,5,2,354,296,3,15,26
1973,San Diego Chargers,2,11,1,188,386,25,24,26
1973,Minnesota Vikings,12,2,0,296,168,9,2,26
1973,Detroit Lions,6,7,1,271,247,13,12,26
1973,Green Bay Packers,5,7,2,202,259,22,14,26
1973,Chicago Bears,3,11,0,195,334,24,20,26
1973,Dallas Cowboys,10,4,0,382,203,2,7,26
1973,Washington Redskins,10,4,0,325,198,6,6,26
1973,Philadelphia Eagles,5,8,1,310,393,8,25,26
1973,St. Louis Cardinals,4,9,1,286,365,12,23,26
1973,New York Giants,2,11,1,226,362,21,22,26
1973,Los Angeles Rams,12,2,0,388,178,1,4,26
1973,Atlanta Falcons,9,5,0,318,224,7,9,26
1973,San Francisco 49ers,5,9,0,262,319,14,19,26
1973,New Orleans Saints,5,9,0,163,312,26,18,26
1974,Pittsburgh Steelers,10,3,1,305,189,6,2,26
1974,Houston Oilers,7,7,0,236,282,17,18,26
1974,Cincinnati Bengals,7,7,0,283,259,10,13,26
1974,Cleveland Browns,4,10,0,251,344,15,26,26
1974,Miami Dolphins,11,3,0,327,216,3,6,26
1974,Buffalo Bills,9,5,0,264,244,12,12,26
1974,New York Jets,7,7,0,279,300,11,24,26
1974,New England Patriots,7,7,0,348,289,2,20,26
1974,Baltimore Colts,2,12,0,190,329,23,25,26
1974,Oakland Raiders,12,2,0,355,228,1,9,26
1974,Denver Broncos,7,6,1,302,294,7,22,26
1974,Kansas City Chiefs,5,9,0,233,293,18,21,26
1974,San Diego Chargers,5,9,0,212,285,20,19,26
1974,Minnesota Vikings,10,4,0,310,195,5,3,26
1974,Detroit Lions,7,7,0,256,270,14,15,26
1974,Green Bay Packers,6,8,0,210,206,21,5,26
1974,Chicago Bears,4,10,0,152,279,25,17,26
1974,St. Louis Cardinals,10,4,0,285,218,9,8,26
1974,Washington Redskins,10,4,0,320,196,4,4,26
1974,Dallas Cowboys,8,6,0,297,235,8,10,26
1974,Philadelphia Eagles,7,7,0,242,217,16,7,26
1974,New York Giants,2,12,0,195,299,22,23,26
1974,Los Angeles Rams,10,4,0,263,181,13,1,26
1974,San Francisco 49ers,6,8,0,226,236,19,11,26
1974,New Orleans Saints,5,9,0,166,263,24,14,26
1974,Atlanta Falcons,3,11,0,111,271,26,16,26
1975,Pittsburgh Steelers(1),12,2,0,373,162,5,2,26
1975,Cincinnati Bengals(4),11,3,0,340,246,9,6,26
1975,Houston Oilers,10,4,0,293,226,12,5,26
1975,Cleveland Browns,3,11,0,218,372,22,24,26
1975,Baltimore Colts(3),10,4,0,395,269,2,10,26
1975,Miami Dolphins,10,4,0,357,222,6,4,26
1975,Buffalo Bills,8,6,0,420,355,1,21,26
1975,New York Jets,3,11,0,258,433,14,26,26
1975,New England Patriots,3,11,0,258,358,15,22,26
