team,name,roles
NYG,Ernie Adams,Offensive Assistant
NYG,Ralph Hawkins,Defensive Coordinator
NYG,Pat Hodgson,Wide Receivers
NYG,Bob Lord,Running Backs
NYG,Don Pollard,Defensive Backs
NYG,Dick Scesniak,Offensive Line
NYG,Bill Belichick,Special Teams Assistant
NYG,Jim Stanley,Defensive Line
CHI,Neill Armstrong,Head Coach
CHI,Hank Kuhlmann,Running Backs
CHI,Ken Meyer,Offensive Coordinator
CHI,Buddy Ryan,Defensive Coordinator
CHI,Jerry Frei,Offensive Line
CHI,Doug Gerhart,Wide Receivers
CHI,Dale Haupt,Defensive Line
CHI,Jim LaRue,Defensive Backs
MIN,Bud Grant,Head Coach
MIN,Bob Hollway,Defensive Assistant
MIN,Les Steckel,Wide Receivers
MIN,Bus Mertes,Running Backs
MIN,John Michels,Offensive Line
MIN,Floyd Reese,Linebackers
MIN,Jerry Burns,Offensive Coordinator
MIN,Murray Warmath,Defensive Line
DEN,Red Miller,Head Coach
DEN,Marv Braden,Special Teams Assistant
DEN,Whitey Dovell,Offensive Line
DEN,Stan Jones,Defensive Line
DEN,Richie McCabe,Linebackers
DEN,Babe Parilli,Quarterbacks
DEN,Fran Polsfoot,Wide Receivers
DEN,Paul Roach,Running Backs
DEN,Joe Collier,Defensive Coordinator
DEN,Bob Zeman,Defensive Backs
CLE,Sam Rutigliano,Head Coach
CLE,Dick MacPherson,Linebackers
CLE,Jim Shofner,Quarterbacks
CLE,Jim Garrett,Running Backs
CLE,Rod Humenuik,Offensive Line
CLE,John Petercuskie,Special Teams Assistant
CLE,Rich Kotite,Wide Receivers
CLE,Chuck Weber,Defensive Backs
NE,Ron Erhardt,Head Coach
NE,Hank Bullough,Defensive Coordinator
NE,Jim Ringo,Offensive Coordinator
NE,Rick Buffington,Administrative Assistant
NE,Gino Cappelletti,Special Teams Assistant
NE,Billy Kinard,Defensive Backs
NE,John Polonchek,Quarterbacks
NE,Fritz Shurmur,Defensive Line
NE,Raymond Berry,Wide Receivers
NE,Tom Yewcic,Running Backs
CIN,Homer Rice,Head Coach
CIN,Mike McCormack,Offensive Line
CIN,Dick Modzelewski,Defensive Line
CIN,Charley Winner,Defensive Backs
CIN,Howard Brinker,Linebackers
CIN,Boyd Dowler,Wide Receivers
CIN,George Sefcik,Running Backs
