season,week,home_team,home_score,away_team,away_score,home_coach,away_coach
2000,16,MIA,13,IND,20,Dave Wannstedt,Jim Mora
2000,16,DAL,13,NYG,17,Dave Campo,Jim Fassel
2000,16,TB,38,STL,35,Tony Dungy,Mike Martz
2000,17,NYG,28,JAX,25,Jim Fassel,Tom Coughlin
2000,17,DEN,38,SF,9,Mike Shanahan,Steve Mariucci
2000,17,SEA,23,BUF,42,Mike Holmgren,Wade Phillips
2000,17,ATL,29,KC,13,Dan Reeves,Gunther Cunningham
2000,17,BAL,34,NYJ,20,Brian Billick,Al Groh
2000,17,DET,20,CHI,23,Gary Moeller,Dick Jauron
2000,17,GB,17,TB,14,Mike Sherman,Tony Dungy
2000,17,NE,24,MIA,27,Bill Belichick,Dave Wannstedt
2000,17,NO,21,STL,26,Jim Haslett,Mike Martz
2000,17,PHI,16,CIN,7,Andy Reid,Dick LeBeau
2000,17,WAS,20,ARI,3,Terry Robiskie,Dave McGinnis
2000,17,SD,21,PIT,34,Mike Riley,Bill Cowher
2000,17,IND,31,MIN,10,Jim Mora,Dennis Green
2000,17,OAK,52,CAR,9,Jon Gruden,George Seifert
2000,17,TEN,31,DAL,0,Jeff Fisher,Dave Campo
