round,pick,team,name,pos,age,college,last_season,career_av,pro_bowls
10,258,MIN,Kenny Brown,WR,,Nebraska,,,0
10,259,BUF,Greg Cater,P,23,Chattanooga,1987,6,0
10,260,NYJ,Guy Bingham,C,22,Montana,1993,23,0
10,261,KAN,Rob Martinovich,T,,Notre Dame,,,0
10,262,NOR,Tanya Webb,DE,,Michigan St.,,,0
10,263,CLE,Kevin Fidel,C,,San Diego St.,,,0
10,264,OAK,Walter Carter,DE,22,Florida St.,1987,0,0
10,265,SEA,Ron Essink,T,22,Grand Valley St.,1985,34,0
10,266,NWE,Tom Daniel,C,,Georgia Tech,,,0
10,267,TAM,Andy Hawkins,LB,22,Texas A&M-Kingsville,1988,21,0
10,268,WAS,Lewis Walker,RB,,Utah,,,0
10,269,CHI,Willie Stephens,DB,,Texas Tech,,,0
10,270,DEN,Virgil Seay,WR,22,Troy,1984,9,0
10,271,MIA,Doug Lantz,C,,Miami (OH),,,0
10,272,MIA,Ben Long,LB,,South Dakota,,,0
10,273,DAL,Matthew Teague,DE,,Prairie View A&M,,,0
10,274,SEA,Billy Reaves,WR,,Morris Brown,,,0
10,275,TAM,Brett Davis,RB,,UNLV,,,0
10,276,RAM,Bob Gruber,T,22,Pittsburgh,1987,0,0
10,277,PIT,Ken Fritz,G,,Ohio St.,,,0
11,278,DET,Wayne Smith,DB,23,Purdue,1987,33,0
11,279,MIA,Phil Driscoll,DE,,Minnesota St.,,,0
11,280,BAL,Eddy Whitley,TE,,Kansas St.,,,0
11,281,CIN,Alton Alexis,WR,22,Tulane,1980,0,0
11,282,STL,Delrick Brown,DB,,Houston,,,0
11,283,GNB,Ricky Skiles,LB,,Louisville,,,0
11,284,ATL,Mike Babb,DB,,Oklahoma,,,0
11,285,NYG,Steve Bernish,DE,,South Carolina,,,0
11,286,BUF,Joe Gordon,DT,,Grambling St.,,,0
11,287,KAN,Dale Markham,T,23,North Dakota,1981,0,0
11,288,MIN,Sam Harrell,RB,23,East Carolina,1987,0,0
11,289,NOR,George Woodard,RB,,Texas A&M,,,0
11,290,NYJ,James Zachery,LB,,Texas A&M,,,0
11,291,OAK,Mike Massey,LB,,Arkansas,,,0
11,292,SEA,Tali Ena,RB,,Washington St.,,,0
11,293,NWE,Mike Hubach,P,22,Kansas,1981,2,0
11,294,CLE,Roland Sales,RB,,Arkansas,,,0
11,295,WAS,Mike Matocha,DE,,Texas-Arlington,,,0
11,296,CHI,Chris Judge,DB,,TCU,,,0
11,297,DEN,Phil Farris,WR,,North Carolina,,,0
11,298,PHI,Lee Jukes,WR,,North Carolina St.,,,0
11,299,TAM,Terry Jones,DE,,Central Oklahoma,,,0
11,300,DAL,Gary Padjen,LB,22,Arizona St.,1987,4,0
11,301,HOU,Eddie Preston,WR,,Western Kentucky,,,0
11,302,PHI,Thomas Brown,DE,23,Baylor,1983,5,0
11,303,SDG,John Singleton,DE,,Texas-El Paso,,,0
